Notes de tall 1a assignació Juny 2024 (11/07/24),Unnamed: 0,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Codi,Nom del centre d'estudi i població,SiglesUniversitat,PAU /CFGS,Més grans de25 anys,Titulatsuniversitaris,Més grans de45 anys
Ordre alfabètic per centre d'estudi,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
ESTUDIS DE GRAU I TÍTOLS PROPIS,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Codi,Nom del centre d'estudi i població,SiglesUniversitat,PAU /CFGS,Més grans de25 anys,Titulatsuniversitaris,Més grans de45 anys,N/A,N/A,N/A,N/A,N/A,N/A,N/A
41029,Administració d'Empreses i Gestió de la Innovació "Tecnocampus" (Mataró),UPF,7 480,5 000,5 000,5 000,N/A,N/A,N/A,N/A,N/A,N/A,N/A
41036,Administració d'Empreses i Gestió de la Innovació "Tecnocampus" (docència enAnglès) (Mataró),UPF,7 206,5 000,5 000,5 000,N/A,N/A,N/A,N/A,N/A,N/A,N/A
41041,Administració d'Empreses i Gestió de la Innovació / Màrqueting i ComunitatsDigitals "Tecnocampus" (simultaneïtat) (Mataró),UPF,8 440,5 000,5 000,5 000,N/A,N/A,N/A,N/A,N/A,N/A,N/A
41035,Administració d'Empreses i Gestió de la Innovació / Turisme i Gestió del Lleure"Tecnocampus" (simultaneïtat) (Mataró),UPF,5 000,5 000,5 000,5 000,N/A,N/A,N/A,N/A,N/A,N/A,N/A
11033,Administració i Direcció d'Empreses (Barcelona),UB,9 636,5 000,5 000,5 000,N/A,N/A,N/A,N/A,N/A,N/A,N/A
41008,Administració i Direcció d'Empreses (Barcelona),UPF,11 316,5 000,5 000,5 000,N/A,N/A,N/A,N/A,N/A,N/A,N/A
71063,Administració i Direcció d'Empreses "IGEMA" (Barcelona),URV,5 000,5 000,5 000,5 000,N/A,N/A,N/A,N/A,N/A,N/A,N/A
21014,Administració i Direcció d'Empreses (Cerdanyola del Vallès),UAB,10 138,5 000,5 000,7 333,N/A,N/A,N/A,N/A,N/A,N/A,N/A
21099,Administració i Direcció d'Empreses (docència en Anglès) (Cerdanyola del Vallès),UAB,10 416,5 000,5 000,5 000,N/A,N/A,N/A,N/A,N/A,N/A,N/A
81003,Administració i Direcció d'Empreses (Girona),UdG,9 446,5 000,5 000,5 000,N/A,N/A,N/A,N/A,N/A,N/A,N/A
61069,Administració i Direcció d'Empreses (Igualada),UdL,8 464,5 000,5 000,5 000,N/A,N/A,N/A,N/A,N/A,N/A,N/A
61003,Administració i Direcció d'Empreses (Lleida),UdL,7 634,5 000,5 000,5 000,N/A,N/A,N/A,N/A,N/A,N/A,N/A
91042,Administració i Direcció d'Empreses (Campus Manresa) (Manresa),UVic-UCC,5 000,5 000,5 000,6 333,N/A,N/A,N/A,N/A,N/A,N/A,N/A
71002,Administració i Direcció d'Empreses (Reus),URV,7 866,5 000,5 000,5 000,N/A,N/A,N/A,N/A,N/A,N/A,N/A
71004,Administració i Direcció d'Empreses (Tortosa),URV,5 378,5 000,5 000,5 000,N/A,N/A,N/A,N/A,N/A,N/A,N/A
91003,Administració i Direcció d'Empreses (Vic),UVic-UCC,5 000,5 000,5 000,5 000,N/A,N/A,N/A,N/A,N/A,N/A,N/A
41034,Dret / Administració i Direcció d'Empreses - Economia (agrupació desimultaneïtat) (Barcelona),UPF,12 406,5 000,6 950,5 000,N/A,N/A,N/A,N/A,N/A,N/A,N/A
11064,Administració i Direcció d'Empreses / Dret (simultaneïtat) (Barcelona),UB,11 406,5 000,7 350,5 000,N/A,N/A,N/A,N/A,N/A,N/A,N/A
21098,Administració i Direcció d'Empreses / Dret (simultaneïtat) (Cerdanyola del Vallès),UAB,10 506,5 000,6 180,5 000,N/A,N/A,N/A,N/A,N/A,N/A,N/A
81053,Administració i Direcció d'Empreses / Dret (simultaneïtat) (Girona),UdG,10 148,5 000,5 000,5 000,N/A,N/A,N/A,N/A,N/A,N/A,N/A
61035,Administració i Direcció d'Empreses / Dret (simultaneïtat) (Lleida),UdL,10 054,5 000,7 420,5 000,N/A,N/A,N/A,N/A,N/A,N/A,N/A
71055,Administració i Direcció d'Empreses / Dret (simultaneïtat) (Tarragona / Reus),URV,9 666,5 000,5 000,5 000,N/A,N/A,N/A,N/A,N/A,N/A,N/A
81052,Administració i Direcció d'Empreses / Economia (simultaneïtat) (Girona),UdG,10 188,5 000,5 000,5 000,N/A,N/A,N/A,N/A,N/A,N/A,N/A
61070,Administració i Direcció d'Empreses / Enginyeria en Organització Industrial iLogística (simultaneïtat) (Igualada),UdL,8 648,5 000,5 000,5 000,N/A,N/A,N/A,N/A,N/A,N/A,N/A
81046,Administració i Direcció d'Empreses / Enginyeria en Tecnologies Industrials(simultaneïtat) (Girona),UdG,9 622,5 000,5 000,5 000,N/A,N/A,N/A,N/A,N/A,N/A,N/A
61036,Administració i Direcció d'Empreses / Enginyeria Informàtica (simultaneïtat)(Lleida),UdL,11 263,5 000,5 000,5 000,N/A,N/A,N/A,N/A,N/A,N/A,N/A
71053,Administració i Direcció d'Empreses / Finances i Comptabilitat (simultaneïtat)(Reus),URV,10 777,5 375,5 000,5 000,N/A,N/A,N/A,N/A,N/A,N/A,N/A
71079,Administració i Direcció d'Empreses / Màrqueting "ESIC" (simultaneïtat) (Reus /Barcelona),URV,9 930,5 000,5 000,5 000,N/A,N/A,N/A,N/A,N/A,N/A,N/A
71080,Administració i Direcció d'Empreses / Màrqueting "ESIC" (simultaneïtat) (Tortosa /Barcelona),URV,7 658,5 000,5 000,5 000,N/A,N/A,N/A,N/A,N/A,N/A,N/A
11066,Administració i Direcció d'Empreses / Matemàtiques (simultaneïtat) (Barcelona),UB,12 086,5 000,5 000,5 000,N/A,N/A,N/A,N/A,N/A,N/A,N/A
11095,Administració i Direcció d'Empreses / Química (simultaneïtat) (Barcelona),UB,10 724,5 000,5 000,5 000,N/A,N/A,N/A,N/A,N/A,N/A,N/A
11090,Administració i Direcció d'Empreses / Sociologia (simultaneïtat) (Barcelona),UB,10 022,5 000,5 000,5 000,N/A,N/A,N/A,N/A,N/A,N/A,N/A
61077,Administració i Direcció d'Empreses i Transformació de Negocis "CentreUniversitari EAE" (Barcelona),UdL,5 000,5 000,5 000,5 000,N/A,N/A,N/A,N/A,N/A,N/A,N/A
11001,Antropologia Social i Cultural (Barcelona),UB,5 000,5 000,5 000,5 000,N/A,N/A,N/A,N/A,N/A,N/A,N/A
61053,Administració i Direcció d'Empreses / Turisme (simultaneïtat) (Lleida),UdL,7 222,5 000,5 000,5 000,N/A,N/A,N/A,N/A,N/A,N/A,N/A
71003,Anglès (Tarragona),URV,5 000,5 250,5 000,5 000,N/A,N/A,N/A,N/A,N/A,N/A,N/A
11029,Arqueologia (Barcelona),UB,5 000,5 000,5 000,5 000,N/A,N/A,N/A,N/A,N/A,N/A,N/A
21146,Arqueologia (Cerdanyola del Vallès),UAB,5 000,5 000,5 000,5 000,N/A,N/A,N/A,N/A,N/A,N/A,N/A
71049,Antropologia i Evolució Humana (virtual o semipresencial) (Tarragona),URV / UOC,5 000,5 000,5 000,5 000,N/A,N/A,N/A,N/A,N/A,N/A,N/A
11096,Arqueologia / Història (simultaneïtat) (Barcelona),UB,7 451,7 375,8 045,5 000,N/A,N/A,N/A,N/A,N/A,N/A,N/A
21152,Antropologia Social i Cultural (Cerdanyola del Vallès),UAB,5 000,5 000,5 000,6 167,N/A,N/A,N/A,N/A,N/A,N/A,N/A
31016,Arquitectura Tècnica i Edificació (Barcelona),UPC,8 006,5 000,5 000,5 000,N/A,N/A,N/A,N/A,N/A,N/A,N/A
81020,Arquitectura Tècnica i Edificació (Girona),UdG,8 218,5 000,5 000,5 000,N/A,N/A,N/A,N/A,N/A,N/A,N/A
81065,Arquitectura Tècnica i Edificació (semipresencial) (Girona),UdG,7 614,5 000,7 800,5 000,N/A,N/A,N/A,N/A,N/A,N/A,N/A
61016,Arquitectura Tècnica i Edificació (Lleida),UdL,7 890,5 000,5 000,5 000,N/A,N/A,N/A,N/A,N/A,N/A,N/A
31078,Arquitectura  Estudis d' (Barcelona),UPC,9 516,5 000,5 000,5 000,N/A,N/A,N/A,N/A,N/A,N/A,N/A
81057,Arquitectura  Estudis d' (Girona),UdG,9 490,5 000,7 010,5 000,N/A,N/A,N/A,N/A,N/A,N/A,N/A
71087,Arquitectura  Estudis d' (Reus),URV,8 910,5 000,5 000,5 000,N/A,N/A,N/A,N/A,N/A,N/A,N/A
31079,Arquitectura  Estudis d' (Sant Cugat del Vallès),UPC,9 844,5 000,6 900,5 000,N/A,N/A,N/A,N/A,N/A,N/A,N/A
81045,Arts Escèniques "ERAM" (Salt),UdG,5 174,5 000,5 000,5 000,N/A,N/A,N/A,N/A,N/A,N/A,N/A
21020,Arts i Disseny "Massana" (Barcelona),UAB,5 000,5 000,5 000,5 000,N/A,N/A,N/A,N/A,N/A,N/A,N/A
91063,Audiologia General (Vic),UVic-UCC,5 000,5 000,5 000,5 000,N/A,N/A,N/A,N/A,N/A,N/A,N/A
11099,Belles Arts (Barcelona),UB,8 280,5 000,6 397,5 000,N/A,N/A,N/A,N/A,N/A,N/A,N/A
91059,Belles Arts "BAU" (Barcelona),UVic-UCC,5 000,5 000,5 000,5 000,N/A,N/A,N/A,N/A,N/A,N/A,N/A
91917,Bioinformàtica (docència en Anglès) (Barcelona / Cerdanyola del Vallès),UPC / UB /UAB / UPF,10 738,5 000,5 000,5 000,N/A,N/A,N/A,N/A,N/A,N/A,N/A
11002,Biologia (Barcelona),UB,11 030,5 000,6 800,6 167,N/A,N/A,N/A,N/A,N/A,N/A,N/A
21009,Biologia (Cerdanyola del Vallès),UAB,10 936,5 063,7 140,5 000,N/A,N/A,N/A,N/A,N/A,N/A,N/A
81006,Biologia (Girona),UdG,9 822,5 000,5 000,5 000,N/A,N/A,N/A,N/A,N/A,N/A,N/A
91018,Biologia (Vic),UVic-UCC,5 000,5 000,5 000,5 000,N/A,N/A,N/A,N/A,N/A,N/A,N/A
81047,Biologia / Biotecnologia (simultaneïtat) (Girona),UdG,11 420,5 000,5 000,5 000,N/A,N/A,N/A,N/A,N/A,N/A,N/A
91058,Biomedicina (Vic),UVic-UCC,10 726,5 000,7 430,5 000,N/A,N/A,N/A,N/A,N/A,N/A,N/A
11003,Bioquímica (Barcelona),UB,11 608,5 000,7 260,5 000,N/A,N/A,N/A,N/A,N/A,N/A,N/A
81048,Biologia / Ciències Ambientals (simultaneïtat) (Girona),UdG,9 484,5 000,5 000,5 000,N/A,N/A,N/A,N/A,N/A,N/A,N/A
21008,Biologia Ambiental (Cerdanyola del Vallès),UAB,10 744,5 000,5 000,5 000,N/A,N/A,N/A,N/A,N/A,N/A,N/A
41001,Biologia Humana (Barcelona),UPF,11 823,5 000,7 000,5 000,N/A,N/A,N/A,N/A,N/A,N/A,N/A
11004,Biotecnologia (Barcelona),UB,11 793,5 000,6 600,5 000,N/A,N/A,N/A,N/A,N/A,N/A,N/A
21011,Bioquímica (Cerdanyola del Vallès),UAB,11 342,5 000,5 000,5 000,N/A,N/A,N/A,N/A,N/A,N/A,N/A
N/A,N/A,N/A,N/A,N/A,N/A,N/A,71005.0,Bioquímica i Biologia Molecular (Tarragona),URV,10 980,5 000,5 000,5 000
N/A,N/A,N/A,N/A,N/A,N/A,N/A,71054.0,Bioquímica i Biologia Molecular / Biotecnologia (simultaneïtat) (Tarragona),URV,12 417,5 000,5 000,5 000
N/A,N/A,N/A,N/A,N/A,N/A,N/A,21012.0,Biotecnologia (Cerdanyola del Vallès),UAB,11 408,5 000,5 000,5 000
N/A,N/A,N/A,N/A,N/A,N/A,N/A,81007.0,Biotecnologia (Girona),UdG,10 508,5 000,5 000,5 000
N/A,N/A,N/A,N/A,N/A,N/A,N/A,61005.0,Biotecnologia (Lleida),UdL,10 128,5 000,5 000,5 000
N/A,N/A,N/A,N/A,N/A,N/A,N/A,71006.0,Biotecnologia (Tarragona),URV,10 514,5 000,5 000,5 000
N/A,N/A,N/A,N/A,N/A,N/A,N/A,91004.0,Biotecnologia (Vic),UVic-UCC,5 000,5 000,5 000,5 000
N/A,N/A,N/A,N/A,N/A,N/A,N/A,71056.0,Biotecnologia / Enginyeria Informàtica (simultaneïtat) (Tarragona),URV,10 753,5 000,5 000,5 000
N/A,N/A,N/A,N/A,N/A,N/A,N/A,11109.0,Ciberseguretat "ENTI" (Barcelona),UB,6 242,5 000,5 000,5 000
N/A,N/A,N/A,N/A,N/A,N/A,N/A,31089.0,Ciència i Enginyeria de Dades (Barcelona),UPC,12 428,5 000,5 000,5 000
N/A,N/A,N/A,N/A,N/A,N/A,N/A,61040.0,Ciència i Producció Animal / Veterinària (simultaneïtat) (Lleida),UdL,11 252,5 125,8 130,5 000
N/A,N/A,N/A,N/A,N/A,N/A,N/A,21021.0,Ciència i Tecnologia dels Aliments (Cerdanyola del Vallès),UAB,9 194,5 000,6 210,5 000
N/A,N/A,N/A,N/A,N/A,N/A,N/A,61008.0,Ciència i Tecnologia dels Aliments (Lleida),UdL,5 000,5 000,5 000,5 000
N/A,N/A,N/A,N/A,N/A,N/A,N/A,11054.0,Ciència i Tecnologia dels Aliments (Santa Coloma de Gramenet),UB,8 524,5 000,5 000,5 000
N/A,N/A,N/A,N/A,N/A,N/A,N/A,21013.0,Ciència Política i Gestió Pública (Cerdanyola del Vallès),UAB,8 292,5 000,5 000,5 000
N/A,N/A,N/A,N/A,N/A,N/A,N/A,21104.0,Ciència Política i Gestió Pública / Dret (simultaneïtat) (Cerdanyola del Vallès),UAB,11 090,5 094,6 550,5 000
N/A,N/A,N/A,N/A,N/A,N/A,N/A,21125.0,Ciència Política i Gestió Pública / Sociologia (simultaneïtat) (Cerdanyola delVallès),UAB,9 584,5 000,5 000,5 000
N/A,N/A,N/A,N/A,N/A,N/A,N/A,21137.0,Ciència  Tecnologia i Humanitats (Cerdanyola del Vallès),UAB,7 116,5 000,6 800,5 000
N/A,N/A,N/A,N/A,N/A,N/A,N/A,21131.0,Ciències (Cerdanyola del Vallès),UAB,6 154,5 000,5 000,5 000
N/A,N/A,N/A,N/A,N/A,N/A,N/A,11005.0,Ciències Ambientals (Barcelona),UB,9 232,5 000,5 000,5 000
N/A,N/A,N/A,N/A,N/A,N/A,N/A,21147.0,Ciències Ambientals (Cerdanyola del Vallès),UAB,8 686,5 000,5 000,5 000
N/A,N/A,N/A,N/A,N/A,N/A,N/A,81008.0,Ciències Ambientals (Girona),UdG,6 894,5 813,5 000,5 000
N/A,N/A,N/A,N/A,N/A,N/A,N/A,21151.0,Ciències Ambientals / Geologia (simultaneïtat) (Cerdanyola del Vallès),UAB,7 118,5 000,5 000,5 000
N/A,N/A,N/A,N/A,N/A,N/A,N/A,11006.0,Ciències Biomèdiques (Barcelona / L'Hospitalet de Llobregat),UB,12 304,5 500,7 700,5 000
N/A,N/A,N/A,N/A,N/A,N/A,N/A,21010.0,Ciències Biomèdiques (Cerdanyola del Vallès),UAB,12 431,5 000,8 200,5 000
N/A,N/A,N/A,N/A,N/A,N/A,N/A,61004.0,Ciències Biomèdiques (Lleida),UdL,11 767,5 000,5 000,5 000
N/A,N/A,N/A,N/A,N/A,N/A,N/A,11113.0,Ciències Culinàries i Gastronòmiques "CETT" (Barcelona),UB,5 000,5 000,5 000,5 000
N/A,N/A,N/A,N/A,N/A,N/A,N/A,71086.0,Ciències de l'Activitat Física i de l'Esport "EUSES" (Amposta),URV,5 602,5 000,5 000,5 000
N/A,N/A,N/A,N/A,N/A,N/A,N/A,11007.0,Ciències de l'Activitat Física i de l'Esport (Barcelona),UB,10 309,5 438,6 530,5 333
N/A,N/A,N/A,N/A,N/A,N/A,N/A,61071.0,Ciències de l'Activitat Física i de l'Esport (La Seu d'Urgell),UdL,9 191,5 000,8 290,5 000
N/A,N/A,N/A,N/A,N/A,N/A,N/A,61007.0,Ciències de l'Activitat Física i de l'Esport (Lleida),UdL,9 498,5 000,5 000,5 000
N/A,N/A,N/A,N/A,N/A,N/A,N/A,41038.0,Ciències de l'Activitat Física i de l'Esport "Tecnocampus" (Mataró),UPF,8 180,5 000,5 000,5 000
N/A,N/A,N/A,N/A,N/A,N/A,N/A,81082.0,Ciències de l'Activitat Física i de l'Esport "EUSES" (Salt),UdG,5 232,5 000,5 000,5 000
N/A,N/A,N/A,N/A,N/A,N/A,N/A,91001.0,Ciències de l'Activitat Física i de l'Esport (Vic),UVic-UCC,6 866,5 000,5 000,5 000
N/A,N/A,N/A,N/A,N/A,N/A,N/A,61038.0,Ciències de l'Activitat Física i de l'Esport / Educació Primària (simultaneïtat)(Lleida),UdL,9 404,5 000,6 960,5 000
N/A,N/A,N/A,N/A,N/A,N/A,N/A,91055.0,Ciències de l'Activitat Física i de l'Esport / Educació Primària (menció enEducació Física) (simultaneïtat) (Vic),UVic-UCC,5 000,5 000,5 000,5 000
N/A,N/A,N/A,N/A,N/A,N/A,N/A,81086.0,Ciències de l'Activitat Física i de l'Esport / Fisioteràpia "EUSES" (simultaneïtat)(Salt),UdG,6 686,5 000,5 000,5 000
N/A,N/A,N/A,N/A,N/A,N/A,N/A,71088.0,Ciències de l'Activitat Física i de l'Esport / Fisioteràpia "EUSES" (simultaneïtat)(Amposta / Tortosa),URV,5 871,5 000,5 000,5 000
N/A,N/A,N/A,N/A,N/A,N/A,N/A,61039.0,Ciències de l'Activitat Física i de l'Esport / Fisioteràpia (simultaneïtat) (Lleida),UdL,11 122,5 000,7 470,5 000
N/A,N/A,N/A,N/A,N/A,N/A,N/A,41037.0,Ciències de l'Activitat Física i de l'Esport / Fisioteràpia "Tecnocampus"(simultaneïtat) (Mataró),UPF,7 710,5 000,5 000,5 000
N/A,N/A,N/A,N/A,N/A,N/A,N/A,21117.0,Ciències de l'Antiguitat (Cerdanyola del Vallès),UAB,5 000,5 000,5 000,5 000
N/A,N/A,N/A,N/A,N/A,N/A,N/A,11077.0,Ciències del Mar (Barcelona),UB,10 228,8 813,8 010,5 000
N/A,N/A,N/A,N/A,N/A,N/A,N/A,41009.0,Ciències Empresarials - Management (Barcelona),UPF,11 580,5 000,5 000,5 000
N/A,N/A,N/A,N/A,N/A,N/A,N/A,31095.0,Ciències i Tecnologies Aplicades a l'Esport i al Fitnes "EUNCET" (Barcelona),UPC,5 000,5 000,5 000,5 000
N/A,N/A,N/A,N/A,N/A,N/A,N/A,31096.0,Ciències i Tecnologies del Mar (Castelldefels / Barcelona / Vilanova i la Geltrú),UPC,6 244,5 000,5 000,5 000
N/A,N/A,N/A,N/A,N/A,N/A,N/A,11008.0,Ciències Polítiques i de l'Administració (Barcelona),UB,8 530,5 000,6 936,5 000
N/A,N/A,N/A,N/A,N/A,N/A,N/A,41010.0,Ciències Polítiques i de l'Administració (Barcelona),UPF,8 360,5 000,5 000,5 000
N/A,N/A,N/A,N/A,N/A,N/A,N/A,81010.0,Ciències Polítiques i de l'Administració (Girona),UdG,7 032,5 000,5 000,5 000
N/A,N/A,N/A,N/A,N/A,N/A,N/A,11065.0,Ciències Polítiques i de l'Administració / Dret (simultaneïtat) (Barcelona),UB,11 452,5 563,5 000,5 000
N/A,N/A,N/A,N/A,N/A,N/A,N/A,81054.0,Ciències Polítiques i de l'Administració / Dret (simultaneïtat) (Girona),UdG,9 408,5 000,5 000,5 000
N/A,N/A,N/A,N/A,N/A,N/A,N/A,11105.0,Cinematografia "ESCAC" (Terrassa),UB,5 000,5 000,5 000,5 000
N/A,N/A,N/A,N/A,N/A,N/A,N/A,81011.0,Comptabilitat i Finances (Girona),UdG,7 673,5 000,5 000,5 000
N/A,N/A,N/A,N/A,N/A,N/A,N/A,21084.0,Comptabilitat i Finances (Sabadell),UAB,8 612,5 000,5 000,5 000
N/A,N/A,N/A,N/A,N/A,N/A,N/A,11097.0,Comunicació Audiovisual (Barcelona),UB,11 090,5 938,7 350,5 000
N/A,N/A,N/A,N/A,N/A,N/A,N/A,41002.0,Comunicació Audiovisual (Barcelona),UPF,11 614,7 813,6 850,5 000
N/A,N/A,N/A,N/A,N/A,N/A,N/A,21085.0,Comunicació Audiovisual (Cerdanyola del Vallès),UAB,10 520,5 000,5 000,5 000
N/A,N/A,N/A,N/A,N/A,N/A,N/A,71007.0,Comunicació Audiovisual (Tarragona),URV,9 232,6 125,5 000,5 000
N/A,N/A,N/A,N/A,N/A,N/A,N/A,91006.0,Comunicació Audiovisual (Vic),UVic-UCC,5 000,5 000,5 000,5 000
N/A,N/A,N/A,N/A,N/A,N/A,N/A,11098.0,Comunicació Audiovisual / Gestió d'Informació i Documentació Digital(simultaneïtat) (Barcelona),UB,10 276,5 000,5 000,5 000
N/A,N/A,N/A,N/A,N/A,N/A,N/A,81005.0,Comunicació Audiovisual i Multimèdia "ERAM" (Salt),UdG,5 000,5 000,5 000,5 000
N/A,N/A,N/A,N/A,N/A,N/A,N/A,81067.0,Comunicació Audiovisual i Multimèdia "ERAM" (docència en Anglès) (Salt),UdG,5 000,5 000,5 000,5 000
N/A,N/A,N/A,N/A,N/A,N/A,N/A,81068.0,Comunicació Cultural (Girona),UdG,5 000,5 000,5 000,6 667
N/A,N/A,N/A,N/A,N/A,N/A,N/A,21121.0,Comunicació de les Organitzacions (Cerdanyola del Vallès),UAB,9 406,5 000,5 000,5 000
N/A,N/A,N/A,N/A,N/A,N/A,N/A,11067.0,Comunicació i Indústries Culturals (Barcelona),UB,8 858,5 000,5 000,5 000
N/A,N/A,N/A,N/A,N/A,N/A,N/A,61009.0,Comunicació i Periodisme Audiovisuals (Lleida),UdL,6 953,5 000,5 000,5 000
