Unnamed: 0,Centres d'estudi,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Codi,Nom del centre d'estudi,Universitat,Població,Tipusde centre,Placesorientatives,Preuorientatiu,Observacions
N/A,Codi,Nom del centre d'estudi,Universitat,Població,Tipusde centre,Placesorientatives,Preuorientatiu,Observacions,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
N/A,41029,"Administració d'Empreses i Gestió de la Innovació ""Tecnocampus""",UPF,Mataró,U. Públ. CA,70,5.990 €,17,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
N/A,41036,"Administració d'Empreses i Gestió de la Innovació ""Tecnocampus"" (docènciaen Anglès)",UPF,Mataró,U. Públ. CA,35,6.405 €,17,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
N/A,41041,"Administració d'Empreses i Gestió de la Innovació / Màrqueting i ComunitatsDigitals ""Tecnocampus"" (simultaneïtat)",UPF,Mataró,U. Públ. CA,60,6.170 €,04-17,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
N/A,41035,"Administració d'Empreses i Gestió de la Innovació / Turisme i Gestió delLleure ""Tecnocampus"" (simultaneïtat)",UPF,Mataró,U. Públ. CA,40,6.210 €,04-17,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
N/A,11033,Administració i Direcció d'Empreses,UB,Barcelona,U. Públ.,780,N/A,16,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
N/A,41008,Administració i Direcció d'Empreses,UPF,Barcelona,U. Públ.,170,N/A,21,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
N/A,71063,"Administració i Direcció d'Empreses ""IGEMA""",URV,Barcelona,U. Públ. CA,80,7.050 €,17,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
N/A,21014,Administració i Direcció d'Empreses,UAB,Cerdanyola del Vallès,U. Públ.,160,N/A,16,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
N/A,21099,Administració i Direcció d'Empreses (docència en Anglès),UAB,Cerdanyola del Vallès,U. Públ.,70,N/A,16,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
N/A,81003,Administració i Direcció d'Empreses,UdG,Girona,U. Públ.,100,N/A,16,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
N/A,61069,Administració i Direcció d'Empreses,UdL,Igualada,U. Públ.,40,N/A,16,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
N/A,61003,Administració i Direcció d'Empreses,UdL,Lleida,U. Públ.,120,N/A,16,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
N/A,91042,Administració i Direcció d'Empreses (Campus Manresa),UVic-UCC,Manresa,U. Priv.,50,5.500 €,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
N/A,71002,Administració i Direcció d'Empreses,URV,Reus,U. Públ.,140,N/A,16,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
N/A,71004,Administració i Direcció d'Empreses,URV,Tortosa,U. Públ.,45,N/A,16,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
N/A,91003,Administració i Direcció d'Empreses,UVic-UCC,Vic,U. Priv.,60,5.473 €,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
N/A,41034,Administració i Direcció d'Empreses - Economia / Dret (agrupació desimultaneïtat),UPF,Barcelona,U. Públ.,90,N/A,12-21,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
N/A,11064,Administració i Direcció d'Empreses / Dret (simultaneïtat),UB,Barcelona,U. Públ.,60,N/A,04-16,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
N/A,21098,Administració i Direcció d'Empreses / Dret (simultaneïtat),UAB,Cerdanyola del Vallès,U. Públ.,80,N/A,04-16,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
N/A,81053,Administració i Direcció d'Empreses / Dret (simultaneïtat),UdG,Girona,U. Públ.,10,N/A,04-16,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
N/A,61035,Administració i Direcció d'Empreses / Dret (simultaneïtat),UdL,Lleida,U. Públ.,30,N/A,04-16,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
N/A,71055,Administració i Direcció d'Empreses / Dret (simultaneïtat),URV,Tarragona  Reus,U. Públ.,25,N/A,04-16,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
N/A,81052,Administració i Direcció d'Empreses / Economia (simultaneïtat),UdG,Girona,U. Públ.,30,N/A,04-16,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
N/A,61070,Administració i Direcció d'Empreses / Enginyeria en Organització Industrial iLogística (simultaneïtat),UdL,Igualada,U. Públ.,10,N/A,04-16,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
N/A,81046,Administració i Direcció d'Empreses / Enginyeria en Tecnologies Industrials(simultaneïtat),UdG,Girona,U. Públ.,15,N/A,04-16,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
N/A,61036,Administració i Direcció d'Empreses / Enginyeria Informàtica (simultaneïtat),UdL,Lleida,U. Públ.,10,N/A,04-16,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
N/A,71053,Administració i Direcció d'Empreses / Finances i Comptabilitat (simultaneïtat),URV,Reus,U. Públ.,30,N/A,04-16,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
N/A,71079,"Administració i Direcció d'Empreses / Màrqueting ""ESIC"" (simultaneïtat)",URV,Reus  Barcelona,U. Públ. CA,10,4.712 €,20,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
N/A,71080,"Administració i Direcció d'Empreses / Màrqueting ""ESIC"" (simultaneïtat)",URV,Barcelona  Tortosa,U. Públ. CA,10,4.712 €,20,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
N/A,11066,Administració i Direcció d'Empreses / Matemàtiques (simultaneïtat),UB,Barcelona,U. Públ.,20,N/A,04-16,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
N/A,11095,Administració i Direcció d'Empreses / Química (simultaneïtat),UB,Barcelona,U. Públ.,20,N/A,04-16,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
N/A,11090,Administració i Direcció d'Empreses / Sociologia (simultaneïtat),UB,Barcelona,U. Públ.,20,N/A,04-16,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
N/A,61077,"Administració i Direcció d'Empreses i Transformació de Negocis ""CentreUniversitari EAE""",UdL,Barcelona,U. Públ. CA,150,10.900 €,17,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
N/A,11001,Antropologia Social i Cultural,UB,Barcelona,U. Públ.,120,N/A,16,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
N/A,61053,Administració i Direcció d'Empreses / Turisme (simultaneïtat),UdL,Lleida,U. Públ.,20,N/A,04-16,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
N/A,71003,Anglès,URV,Tarragona,U. Públ.,55,N/A,16,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
N/A,11029,Arqueologia,UB,Barcelona,U. Públ.,75,N/A,16,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
N/A,21146,Arqueologia,UAB,Cerdanyola del Vallès,U. Públ.,60,N/A,16,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
N/A,71049,Antropologia i Evolució Humana (virtual o semipresencial),URV / UOC,Tarragona,U. Públ.,120,N/A,14-16,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
N/A,11096,Arqueologia / Història (simultaneïtat),UB,Barcelona,U. Públ.,20,N/A,04-16,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
N/A,21152,Antropologia Social i Cultural,UAB,Cerdanyola del Vallès,U. Públ.,70,N/A,16,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
N/A,31016,Arquitectura Tècnica i Edificació,UPC,Barcelona,U. Públ.,160,N/A,21,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
N/A,81020,Arquitectura Tècnica i Edificació,UdG,Girona,U. Públ.,25,N/A,16,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
N/A,81065,Arquitectura Tècnica i Edificació (semipresencial),UdG,Girona,U. Públ.,15,N/A,16,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
N/A,61016,Arquitectura Tècnica i Edificació,UdL,Lleida,U. Públ.,25,N/A,16,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
N/A,31078,Arquitectura  Estudis d',UPC,Barcelona,U. Públ.,342,N/A,21,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
N/A,81057,Arquitectura  Estudis d',UdG,Girona,U. Públ.,40,N/A,16,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
N/A,71087,Arquitectura  Estudis d',URV,Reus,U. Públ.,60,N/A,16,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
N/A,31079,Arquitectura  Estudis d',UPC,Sant Cugat del Vallès,U. Públ.,110,N/A,21,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
N/A,81045,"Arts Escèniques ""ERAM""",UdG,Salt,U. Públ. CA,30,6.480 €,17,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
N/A,21020,"Arts i Disseny ""Massana""",UAB,Barcelona,U. Públ. CA,95,6.332 €,17,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
N/A,91063,Audiologia General,UVic-UCC,Vic,U. Priv.,60,6.901 €,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
N/A,11099,Belles Arts,UB,Barcelona,U. Públ.,300,N/A,16,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
N/A,91059,"Belles Arts ""BAU""",UVic-UCC,Barcelona,U. Priv. CA,80,8.780 €,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
N/A,91917,Bioinformàtica (docència en Anglès),UPC / UB /UAB / UPF,Barcelona  Cerdanyola del Vallès,U. Públ.,50,N/A,21,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
N/A,11002,Biologia,UB,Barcelona,U. Públ.,144,N/A,16,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
N/A,21009,Biologia,UAB,Cerdanyola del Vallès,U. Públ.,80,N/A,16,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
N/A,81006,Biologia,UdG,Girona,U. Públ.,90,N/A,16,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
N/A,91018,Biologia,UVic-UCC,Vic,U. Priv.,50,6.058 €,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
N/A,81047,Biologia / Biotecnologia (simultaneïtat),UdG,Girona,U. Públ.,10,N/A,04-16,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
N/A,91058,Biomedicina,UVic-UCC,Vic,U. Priv.,50,6.058 €,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
N/A,11003,Bioquímica,UB,Barcelona,U. Públ.,60,N/A,16,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
N/A,81048,Biologia / Ciències Ambientals (simultaneïtat),UdG,Girona,U. Públ.,20,N/A,04-16,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
N/A,21008,Biologia Ambiental,UAB,Cerdanyola del Vallès,U. Públ.,60,N/A,16,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
N/A,41001,Biologia Humana,UPF,Barcelona,U. Públ.,65,N/A,21,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,11004,Biotecnologia,UB,Barcelona,U. Públ.,80.0,N/A,16
N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,21011,Bioquímica,UAB,Cerdanyola del Vallès,U. Públ.,60.0,N/A,16
N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,71005,Bioquímica i Biologia Molecular,URV,Tarragona,U. Públ.,45.0,N/A,16
N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,71054,Bioquímica i Biologia Molecular / Biotecnologia (simultaneïtat),URV,Tarragona,U. Públ.,15.0,N/A,04-16
N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,21012,Biotecnologia,UAB,Cerdanyola del Vallès,U. Públ.,80.0,N/A,16
N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,81007,Biotecnologia,UdG,Girona,U. Públ.,60.0,N/A,16
N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,61005,Biotecnologia,UdL,Lleida,U. Públ.,50.0,N/A,16
N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,71006,Biotecnologia,URV,Tarragona,U. Públ.,40.0,N/A,16
N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,91004,Biotecnologia,UVic-UCC,Vic,U. Priv.,50.0,6.058 €,N/A
N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,81047,Biotecnologia / Biologia (simultaneïtat),UdG,Girona,U. Públ.,10.0,N/A,04-16
N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,71054,Biotecnologia / Bioquímica i Biologia Molecular (simultaneïtat),URV,Tarragona,U. Públ.,15.0,N/A,04-16
N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,71056,Biotecnologia / Enginyeria Informàtica (simultaneïtat),URV,Tarragona,U. Públ.,10.0,N/A,04-16
N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,11109,"Ciberseguretat ""ENTI""",UB,Barcelona,U. Públ. CA,40.0,8.220 €,17
N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,31089,Ciència i Enginyeria de Dades,UPC,Barcelona,U. Públ.,50.0,N/A,21
N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,61040,Ciència i Producció Animal / Veterinària (simultaneïtat),UdL,Lleida,U. Públ.,60.0,N/A,15-16
N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,21021,Ciència i Tecnologia dels Aliments,UAB,Cerdanyola del Vallès,U. Públ.,70.0,N/A,16
N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,61008,Ciència i Tecnologia dels Aliments,UdL,Lleida,U. Públ.,40.0,N/A,16
N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,11054,Ciència i Tecnologia dels Aliments,UB,Santa Coloma de Gramenet,U. Públ.,80.0,N/A,16
N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,21013,Ciència Política i Gestió Pública,UAB,Cerdanyola del Vallès,U. Públ.,80.0,N/A,16
N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,21104,Ciència Política i Gestió Pública / Dret (simultaneïtat),UAB,Cerdanyola del Vallès,U. Públ.,20.0,N/A,04-16
N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,21125,Ciència Política i Gestió Pública / Sociologia (simultaneïtat),UAB,Cerdanyola del Vallès,U. Públ.,20.0,N/A,04-16
N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,21137,Ciència  Tecnologia i Humanitats,UAB / UAM /UC3M,Cerdanyola del Vallès,U. Públ.,15.0,N/A,16-25
N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,21131,Ciències,UAB / UAM /UC3M,Cerdanyola del Vallès,U. Públ.,15.0,N/A,09
N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,11005,Ciències Ambientals,UB,Barcelona,U. Públ.,60.0,N/A,16
N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,21147,Ciències Ambientals,UAB,Cerdanyola del Vallès,U. Públ.,60.0,N/A,16
N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,81008,Ciències Ambientals,UdG,Girona,U. Públ.,60.0,N/A,16
N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,21151,Ciències Ambientals / Geologia (simultaneïtat),UAB,Cerdanyola del Vallès,U. Públ.,30.0,N/A,16
N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,81048,Ciències Ambientals / Biologia (simultaneïtat),UdG,Girona,U. Públ.,20.0,N/A,04-16
N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,11006,Ciències Biomèdiques,UB,Barcelona  L'Hospitalet deLlobregat,U. Públ.,165.0,N/A,16
N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,21010,Ciències Biomèdiques,UAB,Cerdanyola del Vallès,U. Públ.,60.0,N/A,16
N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,61004,Ciències Biomèdiques,UdL,Lleida,U. Públ.,45.0,N/A,16
N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,11113,"Ciències Culinàries i Gastronòmiques ""CETT""",UB,Barcelona,U. Públ. CA,80.0,8.741 €,17
N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,71086,"Ciències de l'Activitat Física i de l'Esport ""EUSES""",URV,Amposta,U. Públ. CA,50.0,7.485 €,17
N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,11007,Ciències de l'Activitat Física i de l'Esport,UB,Barcelona,U. Públ. CA,150.0,N/A,16
N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,61071,Ciències de l'Activitat Física i de l'Esport,UdL,La Seu d'Urgell,U. Públ. CA,40.0,N/A,16
N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,61007,Ciències de l'Activitat Física i de l'Esport,UdL,Lleida,U. Públ. CA,95.0,N/A,16
N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,41038,"Ciències de l'Activitat Física i de l'Esport ""Tecnocampus""",UPF,Mataró,U. Públ. CA,60.0,6.790 €,17
N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,81082,"Ciències de l'Activitat Física i de l'Esport ""EUSES""",UdG,Salt,U. Públ. CA,90.0,7.335 €,17
N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,91001,Ciències de l'Activitat Física i de l'Esport,UVic-UCC,Vic,U. Priv.,100.0,6.058 €,N/A
N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,61038,Ciències de l'Activitat Física i de l'Esport / Educació Primària (simultaneïtat),UdL,Lleida,U. Públ.,30.0,N/A,04-16-19
N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,91055,Ciències de l'Activitat Física i de l'Esport / Educació Primària (menció enEducació Física) (simultaneïtat),UVic-UCC,Vic,U. Priv.,40.0,7.353 €,04-29
N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,81086,"Ciències de l'Activitat Física i de l'Esport / Fisioteràpia ""EUSES""(simultaneïtat)",UdG,Salt,U. Públ. CA,10.0,9.984 €,04-17
N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,71088,"Ciències de l'Activitat Física i de l'Esport / Fisioteràpia ""EUSES""(simultaneïtat)",URV,Tortosa  Amposta,U. Públ. CA,10.0,10.133 €,04-17
N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,61039,Ciències de l'Activitat Física i de l'Esport / Fisioteràpia (simultaneïtat),UdL,Lleida,U. Públ.,25.0,N/A,04-16
N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,41037,"Ciències de l'Activitat Física i de l'Esport / Fisioteràpia ""Tecnocampus""(simultaneïtat)",UPF,Mataró,U. Públ. CA,40.0,8.850 €,04-17
N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,21117,Ciències de l'Antiguitat,UAB,Cerdanyola del Vallès,U. Públ.,60.0,N/A,16
N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,11077,Ciències del Mar,UB,Barcelona,U. Públ.,60.0,N/A,16
N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,41009,Ciències Empresarials - Management,UPF,Barcelona,U. Públ.,110.0,N/A,21
N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,31095,"Ciències i Tecnologies Aplicades a l'Esport i al Fitnes ""EUNCET""",UPC,Barcelona,U. Públ. CA,80.0,7.500 €,17
N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,31096,Ciències i Tecnologies del Mar,UPC,Barcelona  Vilanova i la Geltrú Castelldefels,U. Públ.,60.0,N/A,21
N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,11008,Ciències Polítiques i de l'Administració,UB,Barcelona,U. Públ.,100.0,N/A,16
N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,41010,Ciències Polítiques i de l'Administració,UPF,Barcelona,U. Públ.,140.0,N/A,21
N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,81010,Ciències Polítiques i de l'Administració,UdG,Girona,U. Públ.,55.0,N/A,16
N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,11065,Ciències Polítiques i de l'Administració / Dret (simultaneïtat),UB,Barcelona,U. Públ.,20.0,N/A,04-16
N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,81054,Ciències Polítiques i de l'Administració / Dret (simultaneïtat),UdG,Girona,U. Públ.,15.0,N/A,04-16
N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,11105,"Cinematografia ""ESCAC""",UB,Terrassa,U. Públ. CA,110.0,11.950 €,01-17
N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,81011,Comptabilitat i Finances,UdG,Girona,U. Públ.,140.0,N/A,16
N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,21084,Comptabilitat i Finances,UAB,Sabadell,U. Públ.,150.0,N/A,16
N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,11097,Comunicació Audiovisual,UB,Barcelona,U. Públ.,45.0,N/A,16
N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,41002,Comunicació Audiovisual,UPF,Barcelona,U. Públ.,80.0,N/A,21
