Codi,Nom del centre destudi,Universitat,Branca,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27
41029,Administració d'Empreses i Gestió de la Innovació "Tecnocampus",UPF,CSJ,0,0,2,0,0,0,0,2,0,2,2,0,0,0,0,0,0,0,0,2,2,2,0,0,0,2,0
41036,Administració d'Empreses i Gestió de la Innovació "Tecnocampus" (Docència en Anglès),UPF,CSJ,0,0,2,0,0,0,0,2,0,2,2,0,0,0,0,0,0,0,0,2,2,2,0,0,0,2,0
41041,Administració d'Empreses i Gestió de la Innovació / Màrqueting i Comunitats Digitals "Tecnocampus" (Simultaneïtat),UPF,CSJ,2,2,2,0,0,0,2,2,1,2,2,0,0,2,2,2,0,0,0,2,2,2,0,2,0,2,0
41035,Administració d'Empreses i Gestió de la Innovació / Turisme i Gestió del Lleure "Tecnocampus" (Simultaneïtat),UPF,CSJ,1,1,2,0,0,0,0,2,2,2,2,0,0,2,2,2,0,0,0,2,2,2,0,0,0,2,0
11033,Administració i Direcció d'Empreses,UB,CSJ,0,0,2,0,0,0,0,2,0,2,2,0,0,0,0,0,0,0,0,2,2,2,0,0,0,2,0
21014,Administració i Direcció d'Empreses,UAB,CSJ,0,0,2,0,0,0,0,2,0,2,2,0,0,0,0,0,0,0,0,2,2,2,0,0,0,2,0
21099,Administració i Direcció d'Empreses (Docència en Anglès),UAB,CSJ,0,0,2,0,0,0,0,2,0,2,2,0,0,0,0,0,0,0,0,2,2,2,0,0,0,2,0
61077,Administració i Direcció d'Empreses i Transformació de Negocis "Centre Universitari EAE",UdL,CSJ,0,0,2,0,0,0,0,2,0,2,2,0,0,0,0,0,0,0,0,2,2,2,0,0,0,0,0
41008,Administració i Direcció d'Empreses,UPF,CSJ,0,0,2,0,0,0,0,2,0,2,2,0,0,0,0,0,0,0,0,2,2,2,0,0,0,2,0
61003,Administració i Direcció d'Empreses,UdL,CSJ,0,0,2,0,0,0,0,2,0,2,2,0,0,0,0,0,0,0,0,2,2,2,0,0,0,2,0
61069,Administració i Direcció d'Empreses (Igualada),UdL,CSJ,0,0,2,0,0,0,0,2,0,2,2,0,0,0,0,0,0,0,0,2,2,2,0,0,0,2,0
81003,Administració i Direcció d'Empreses,UdG,CSJ,0,0,2,0,0,0,0,2,0,2,2,0,0,0,0,0,0,0,0,2,2,2,0,0,0,2,0
71002,Administració i Direcció d'Empreses (Reus),URV,CSJ,0,0,2,0,0,0,0,2,0,2,2,0,0,0,0,0,0,0,0,2,2,2,0,0,0,2,0
71004,Administració i Direcció d'Empreses (Tortosa),URV,CSJ,0,0,2,0,0,0,0,2,0,2,2,0,0,0,0,0,0,0,0,2,2,2,0,0,0,2,0
71063,Administració i Direcció d'Empreses "IGEMA",URV,CSJ,0,0,2,0,0,0,0,2,0,2,2,0,0,0,0,0,0,0,0,2,2,2,0,0,0,2,0
91003,Administració i Direcció d'Empreses,UVic-UCC,CSJ,0,0,2,0,0,0,0,2,0,2,2,0,0,0,0,0,0,0,0,2,2,2,0,0,0,2,0
91042,Administració i Direcció d'Empreses (Campus Manresa),UVic-UCC,CSJ,0,0,2,0,0,0,0,2,0,2,2,0,0,0,0,0,0,0,0,2,2,2,0,0,0,2,0
11064,Administració i Direcció d'Empreses / Dret (Simultaneïtat),UB,CSJ,0,0,2,0,0,0,0,2,0,2,2,0,0,1,2,0,0,0,0,2,2,2,0,0,0,2,0
21098,Administració i Direcció d'Empreses / Dret (Simultaneïtat),UAB,CSJ,0,0,2,0,0,0,0,2,0,2,2,0,0,1,2,0,0,0,0,2,2,2,0,0,0,2,0
61035,Administració i Direcció d'Empreses / Dret (Simultaneïtat),UdL,CSJ,0,0,2,0,0,0,0,2,0,2,2,0,0,1,2,0,0,0,0,2,2,2,0,0,0,2,0
81053,Administració i Direcció d'Empreses / Dret (Simultaneïtat),UdG,CSJ,0,0,2,0,0,0,0,2,0,2,2,0,0,1,2,0,0,0,0,2,2,2,0,0,0,2,0
71055,Administració i Direcció d'Empreses / Dret (Simultaneïtat),URV,CSJ,0,0,2,0,0,0,0,2,0,2,2,0,0,1,2,0,0,0,0,2,2,2,0,0,0,2,0
81052,Administració i Direcció d'Empreses / Economia (Simultaneïtat),UdG,CSJ,0,0,2,0,0,0,0,2,0,2,2,0,0,0,0,0,0,0,0,2,2,2,0,0,0,2,0
41034,Administració i Direcció d'Empreses - Economia / Dret (Agrupació de Simultaneïtat),UPF,CSJ,0,0,2,0,0,0,0,2,0,2,2,0,0,0,2,0,0,0,0,2,2,2,0,0,0,2,0
61070,Administració i Direcció d'Empreses / Enginyeria en Organització Industrial i Logística (simultaneïtat),UdL,EA,0,0,2,0,0,2,1,2,0,2,2,1,0,0,0,0,0,0,0,2,2,2,2,0,2,2,0
81046,Administració i Direcció d'Empreses / Enginyeria en Tecnologies Industrials (Simultaneïtat),UdG,CSJ,0,0,2,0,0,2,0,2,0,2,2,0,0,0,0,0,0,0,0,2,2,2,2,0,0,2,0
61036,Administració i Direcció d'Empreses / Enginyeria Informàtica (Simultaneïtat),UdL,CSJ,0,0,2,1,0,2,0,2,0,2,2,0,0,0,0,0,0,0,0,2,2,2,2,0,2,2,0
71053,Administració i Direcció d'Empreses / Finances i Comptabilitat (Simultaneïtat),URV,CSJ,0,0,2,0,0,0,0,2,0,2,2,0,0,0,0,0,0,0,0,2,2,2,0,0,0,2,0
71079,Administració i Direcció d'Empreses / Màrqueting "ESIC" (simultaneïtat) Reus / Barcelona,URV,CSJ,0,0,2,0,0,0,0,2,0,2,2,0,0,0,0,0,0,0,0,2,2,2,0,2,0,2,0
71080,Administració i Direcció d'Empreses / Màrqueting "ESIC" (simultaneïtat) Tortosa / Barcelona,URV,CSJ,0,0,2,0,0,0,0,2,0,2,2,0,0,0,0,0,0,0,0,2,2,2,0,2,0,2,0
11066,Administració i Direcció d'Empreses / Matemàtiques (Simultaneïtat),UB,CSJ,0,0,2,1,0,0,0,2,0,2,2,1,0,0,0,0,0,0,0,2,2,2,1,0,0,2,0
11095,Administració i Direcció d'Empreses / Química (Simultaneïtat),UB,CSJ,0,0,2,0,0,0,0,2,0,2,2,0,0,0,0,0,0,0,0,2,2,2,0,0,0,2,0
11090,Administració i Direcció d'Empreses / Sociologia (Simultaneïtat),UB,CSJ,0,0,2,0,1,0,1,2,1,2,2,1,0,1,2,1,0,0,0,2,2,2,0,1,0,2,0
61053,Administració i Direcció d'Empreses / Turisme (Simultaneïtat),UdL,CSJ,1,1,2,0,0,0,0,2,2,2,2,0,0,2,2,2,0,0,0,2,2,2,0,0,0,2,0
71003,Anglès,URV,AH,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,0,2,2,0,0,0,0,0,0,0,2,2
71049,Antropologia i Evolució Humana (Virtual o Semipresencial),URV/UOC,AH,0,0,0,0,0,0,0,0,0,0,2,0,1,2,2,0,0,0,0,0,2,0,0,0,0,2,0
11001,Antropologia Social i Cultural,UB,CSJ,0,0,0,0,0,0,0,0,0,0,2,0,1,2,2,0,0,0,0,2,2,0,0,0,0,2,0
21152,Antropologia Social i Cultural,UAB,CSJ,0,0,0,0,0,0,0,0,0,0,2,0,1,2,2,0,0,0,0,2,2,0,0,0,0,2,0
11029,Arqueologia,UB,AH,0,0,0,0,0,0,0,0,2,0,0,0,0,2,2,2,0,0
21146,Arqueologia,UAB,AH,0,0,0,0,0,0,0,0,2,0,0,0,0,2,2,2,0,0
11096,Arqueologia / Història (Simultaneïtat),UB,AH,0,0,0,0,0,0,0,0,2,0,1,0,0,2,2,2,0,0,0,0,0,0,0,0,0,1,0
71087,Arquitectura Estudis d',URV,EA,0,0,0,0,2,2,2,2,2,1,1,1,0,0,0,2,0,0,0,2,0,0,1,1,0,0,0
31078,Arquitectura Estudis d' (Barcelona),UPC,EA,0,0,0,0,2,2,2,2,2,1,1,1,0,0,0,2,0,0,0,2,0,0,1,1,0,0,0
31079,Arquitectura Estudis d' (Sant Cugat del Vallès),UPC,EA,0,0,0,0,2,2,2,2,2,1,1,1,0,0,0,2,0,0,0,2,0,0,1,1,0,0,0
81057,Arquitectura Estudis d',UdG,EA,0,0,0,0,2,2,2,2,2,1,1,1,0,0,0,2,0,0,0,2,0,0,1,1,0,0,0
31016,Arquitectura Tècnica i Edificació,UPC,EA,0,0,0,0,0,2,1,2,0,1,0,1,0,0,0,0,0,0,0,2,0,1,1,0,0,0,0
61016,Arquitectura Tècnica i Edificació,UdL,EA,0,0,0,0,0,2,1,2,0,1,0,1,0,0,0,0,0,0,0,2,0,1,1,0,0,0,0
81020,Arquitectura Tècnica i Edificació,UdG,EA,0,0,0,0,0,2,1,2,0,1,0,1,0,0,0,0,0,0,0,2,0,1,1,0,0,0,0
81065,Arquitectura Tècnica i Edificació (Semipresencial),UdG,EA,0,0,0,0,0,2,1,2,0,1,0,1,0,0,0,0,0,0,0,2,0,1,1,0,0,0,0
81045,Arts Escèniques "ERAM",UdG,AH,2,2,0,0,2,0,0,0,2,0,0,0,2,2,2,2,0,0,2,0,0,0,0,2,0,0,0
21020,Arts i Disseny "Massana",UAB,AH,0,0,0,0,2,2,2,2,2,1,0,0,0,0,2,2,0,0,0,1,1,0,1,2,0,0,0
91063,Audiologia General,UVic-UCC,CS,0,0,2,0,0,0,0,2,0,0,0,0,2,0,0,0,0,0,0,0
11099,Belles Arts,UB,AH,0,0,0,0,2,2,2,0,2,0,0,0,0,2,2,2,0,0,0,0,0,0,0,2,0,0,0
91059,Belles Arts "BAU",UVic-UCC,AH,0,0,0,0,2,2,2,0,2,0,0,0,0,2,2,2,0,0,0,0,0,0,0,2,0,0,0
91917,Bioinformàtica (Docència en Anglès),UPC/UB/ UAB/UPF,CS,0,0,2,0,0,0,0,2,0,0,0,2,0,0,0,0,0,0,0,2,0,2,0,0,0,0,0
11002,Biologia,UB,C,0,0,2,1,0,0,0,2,0,0,0,2,0,0,0,0,0,0,0,2,0,2,0,0,0,0,0
21009,Biologia,UAB,C,0,0,2,1,0,0,0,2,0,0,0,2,0,0,0,0,0,0,0,2,0,2,0,0,0,0,0
81006,Biologia,UdG,C,0,0,2,1,0,0,0,2,0,0,0,2,0,0,0,0,0,0,0,2,0,2,0,0,0,0,0
91018,Biologia,UVic-UCC,C,0,0,2,1,0,0,0,2,0,0,0,2,0,0,0,0,0,0,0,2,0,2,0,0,0,0,0
21008,Biologia Ambiental,UAB,C,0,0,2,1,0,0,0,2,0,0,0,2,0,0,0,0,0,0,0,2,0,2,0,0,0,0,0
81047,Biologia / Biotecnologia (Simultaneïtat),UdG,C,0,0,2,1,0,0,0,2,0,0,0,2,0,0,0,0,0,0,0,2,0,2,0,0,0,0,0
81048,Biologia / Ciències Ambientals (Simultaneïtat),UdG,C,0,0,2,2,0,0,0,2,0,0,0,2,0,0,0,0,0,0,0,2,0,2,0,0,0,0,0
41001,Biologia Humana,UPF,CS,0,0,2,0,0,0,0,2,0,0,0,2,0,0,0,0,0,0,0,2,0,2,0,0,0,0,0
91058,Biomedicina,UVic-UCC,C,0,0,2,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,2,0,2,0,0,0,0,0
11003,Bioquímica,UB,C,0,0,2,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,2,0,2,0,0,0,0,0
21011,Bioquímica,UAB,C,0,0,2,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,2,0,2,0,0,0,0,0
71005,Bioquímica i Biologia Molecular,URV,C,0,0,2,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,2,0,2,0,0,0,0,0
71054,Bioquímica i Biologia Molecular / Biotecnologia (Simultaneïtat),URV,C,0,0,2,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,2,0,2,0,0,0,0,0
11004,Biotecnologia,UB,C,0,0,2,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,2,0,2,0,0,0,0,0
21012,Biotecnologia,UAB,C,0,0,2,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,2,0,2,0,0,0,0,0
61005,Biotecnologia,UdL,C,0,0,2,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,2,0,2,0,0,0,0,0
81007,Biotecnologia,UdG,C,0,0,2,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,2,0,2,0,0,0,0,0
71006,Biotecnologia,URV,C,0,0,2,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,2,0,2,0,0,0,0,0
91004,Biotecnologia,UVic-UCC,C,0,0,2,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,2,0,2,0,0,0,0,0
81047,Biotecnologia / Biologia (Simultaneïtat),UdG,C,0,0,2,1,0,0,0,2,0,0,0,2,0,0,0,0,0,0,0,2,0,2,0,0,0,0,0
71054,Biotecnologia / Bioquímica i Biologia Molecular (Simultaneïtat),URV,C,0,0,2,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,2,0,2,0,0,0,0,0
71056,Biotecnologia / Enginyeria Informàtica (Simultaneïtat),URV,C,0,0,2,0,0,1,0,2,0,1,0,0,0,0,0,0,0,0,0,2,0,2,2,0,2,0,0
11109,Ciberseguretat - ENTI,UB,EA,0,0,0,0,0,2,0,2,0,0,0,0,0,0,0,0,0,0,0,2,2,0,2,0,0,0,0
31089,Ciència i Enginyeria de Dades,UPC,EA,0,0,2,0,0,1,1,2,0,1,0,1,0,0,0,0,0,0,0,2,0,1,1,0,1,0,0
61040,Ciència i Producció Animal / Veterinària (Simultaneïtat),UdL,CS,0,0,2,0,0,0,0,2,0,0,0,1,0,0,0,0,0,0,0,2,0,2,0,0,0,0,0
11054,Ciència i Tecnologia dels Aliments,UB,CS,0,0,2,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,2,0,2,1,0,0,0,0
21021,Ciència i Tecnologia dels Aliments,UAB,CS,0,0,2,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,2,0,2,1,0,0,0,0
61008,Ciència i Tecnologia dels Aliments,UdL,C,0,0,2,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,2,0,2,1,0,0,0,0
21013,Ciència Política i Gestió Pública,UAB,CSJ,0,0,0,0,0,0,0,0,1,2,2,0,0,2,2,0,0,0,0,2,2,0,0,0,0,2,0
21104,Ciència Política i Gestió Pública / Dret (Simultaneïtat),UAB,CSJ,0,0,0,0,0,0,0,0,1,2,2,0,0,2,2,0,0,0,0,2,2,0,0,0,0,2,0
21125,Ciència Política i Gestió Pública / Sociologia (Simultaneïtat),UAB,CSJ,0,0,0,0,0,0,0,0,1,2,2,0,0,2,2,0,0,0,0,2,2,0,0,0,0,2,0
21137,Ciència Tecnologia i Humanitats,UAB/UAM/ UC3M,CSJ,0,0,2,2,0,0,0,2,0,2,2,2,1,2,2,2,2,2,1,2,2,2,2,0,0,2,2
21131,Ciències,UAB/UAM/ UC3M,C,0,0,2,2,0,1,0,2,0,0,0,2,0,0,0,0,0,0,0,2,1,2,0,0,0,0,0
11005,Ciències Ambientals,UB,C,0,0,2,2,0,0,0,2,0,0,0,2,0,0,0,0,0,0,0,2,0,2,0,0,0,0,0
21147,Ciències Ambientals,UAB,C,0,0,2,2,0,0,0,2,0,0,0,2,0,0,0,0,0,0,0,2,0,2,0,0,0,0,0
81008,Ciències Ambientals,UdG,C,0,0,2,2,0,0,0,2,0,0,0,2,0,0,0,0,0,0,0,2,0,2,0,0,0,0,0
81048,Ciències Ambientals / Biologia (Simultaneïtat),UdG,C,0,0,2,2,0,0,0,2,0,0,0,2,0,0,0,0,0,0,0,2,0,2,0,0,0,0,0
21151,Ciències Ambientals / Geologia (Simultaneïtat),UAB,C,0,0,2,2,0,0,0,2,0,0,0,2,0,0,0,0,0,0,0,2,0,2,0,0,0,0,0
11006,Ciències Biomèdiques,UB,C,0,0,2,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,2,0,2,0,0,0,0,0
21010,Ciències Biomèdiques,UAB,C,0,0,2,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,2,0,2,0,0,0,0,0
61004,Ciències Biomèdiques,UdL,C,0,0,2,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,2,0,2,0,0,0,0,0
11113,Ciències Culinàries i Gastronòmiques "CETT",UB,CSJ,0,0,2,2,0,0,0,2,0,2,0,0,0,0,0,0,0,0,0,2,2,2,0,0,0,0,0
21117,Ciències de l'Antiguitat,UAB,AH,0,0,0,0,0,0,0,0,1,0,0,0,0,2,2,2,0,0,2,0,0,0,0,0,0,2,0
11007,Ciències de l'Activitat Física i de l'Esport,UB,CS,0,0,2,2,0,0,0,2,0,0,1,0,1,0,0,0,0,0,0,2,1,2,0,0,0,0,0
41038,Ciències de l'Activitat Física i de l'Esport "Tecnocampus",UPF,CS,0,0,2,2,0,0,0,2,0,0,1,0,1,0,0,0,0,0,0,2,1,2,0,0,0,0,0
61007,Ciències de l'Activitat Física i de l'Esport,UdL,CS,0,0,2,2,0,0,0,2,0,0,1,0,1,0,0,0,0,0,0,2,1,2,0,0,0,0,0
61071,Ciències de l'Activitat Física i de l'Esport (La Seu d'Urgell),UdL,CS,0,0,2,2,0,0,0,2,0,0,1,0,1,0,0,0,0,0,0,2,1,2,0,0,0,0,0
81082,Ciències de l'Activitat Física i de l'Esport "EUSES",UdG,CS,0,0,2,2,0,0,0,2,0,0,1,0,1,0,0,0,0,0,0,2,1,2,0,0,0,0,0
71086,Ciències de l'Activitat Física i de l'Esport "EUSES",URV,CS,0,0,2,2,0,0,0,2,0,0,1,0,1,0,0,0,0,0,0,2,1,2,0,0,0,0,0
91001,Ciències de l'Activitat Física i de l'Esport,UVic-UCC,CSJ,0,0,2,2,0,0,0,2,0,0,1,0,1,0,0,0,0,0,0,2,1,2,0,0,0,0,0
61038,Ciències de l'Activitat Física i de l'Esport / Educació Primària (Simultaneïtat),UdL,CS,2,2,2,2,2,0,0,2,2,0,2,2,2,2,2,2,2,2,2,2,2,2,0,0,0,0,2
91055,Ciències de l'Activitat Física i de l'Esport / Educació Primària (Menció en Educació Física) (Simultaneïtat),UVic-UCC,CS,2,2,2,2,2,0,0,2,2,0,2,2,2,2,2,2,2,2,2,2,2,2,0,0,0,0,2
41037,Ciències de l'Activitat Física i de l'Esport / Fisioteràpia "Tecnocampus" (Simultaneïtat),UPF,CS,0,0,2,2,0,0,0,2,0,0,1,0,1,0,0,0,0,0,0,2,1,2,0,0,0,2,0
61039,Ciències de l'Activitat Física i de l'Esport / Fisioteràpia (Simultaneïtat),UdL,CS,0,0,2,2,0,0,0,2,0,0,1,0,1,0,0,0,0,0,0,2,1,2,0,0,0,2,0
81086,Ciències de l'Activitat Física i de l'Esport / Fisioteràpia "EUSES" (simultaneïtat),UdG,CS,0,0,2,2,0,0,0,2,0,0,1,0,1,0,0,0,0,0,0,2,1,2,0,0,0,2,0
71088,Ciències de l'Activitat Física i de l'Esport / Fisioteràpia "EUSES" (simultaneïtat),URV,CS,0,0,2,2,0,0,0,2,0,0,1,0,1,0,0,0,0,0,0,2,1,2,0,0,0,2,0
31095,Ciències i Tecnologies Aplicades a l'Esport i al Fitnes "EUNCET",UPC,EA,0,0,2,2,0,1,1,2,0,0,1,0,0,0,0,0,0,0,0,2,1,2,1,0,0,0,0
11077,Ciències del Mar,UB,C,0,0,2,2,0,0,0,2,0,0,0,2,0,0,0,0,0,0,0,2,0,2,0,0,0,0,0
41009,Ciències Empresarials - Management,UPF,CSJ,0,0,2,0,0,0,0,2,0,2,2,0,0,0,0,0,0,0,0,2,2,2,0,0,0,2,0
31096,Ciències i Tecnologies del Mar,UPC,EA,0,0,2,2,0,0,0,2,0,0,0,2,0,0,0,0,0,0,0,2,0,2,0,0,0,0,0
11008,Ciències Polítiques i de l'Administració,UB,CSJ,0,0,0,0,0,0,0,0,1,2,2,0,0,2,2,0,0,0,0,2,2,0,0,0,0,2,0
41010,Ciències Polítiques i de l'Administració,UPF,CSJ,0,0,0,0,0,0,0,0,1,2,2,0,0,2,2,0,0,0,0,2,2,0,0,0,0,2,0
81010,Ciències Polítiques i de l'Administració,UdG,CSJ,0,0,0,0,0,0,0,0,1,2,2,0,0,2,2,0,0,0,0,2,2,0,0,0,0,2,0
11065,Ciències Polítiques i de l'Administració / Dret (Simultaneïtat),UB,CSJ,0,0,0,0,0,0,0,0,1,2,2,0,0,2,2,0,0,0,0,2,2,0,0,0,0,2,0
81054,Ciències Polítiques i de l'Administració / Dret (Simultaneïtat),UdG,CSJ,0,0,0,0,0,0,0,0,1,2,2,0,0,2,2,0,0,0,0,2,2,0,0,0,0,2,0
11105,Cinematografia "ESCAC",UB,AH,2,2,0,0,2,2,2,2,2,2,0,0,0,1,2,2,2,2,0,2,2,0,0,2,2,2,2
21084,Comptabilitat i Finances,UAB,CSJ,0,0,2,0,0,0,0,2,0,2,2,0,0,0,0,0,0,0,0,2,2,2,0,0,0,2,0
81011,Comptabilitat i Finances,UdG,CSJ,0,0,2,0,0,0,0,2,0,2,2,0,0,0,0,0,0,0,0,2,2,2,0,0,0,2,0
11097,Comunicació Audiovisual,UB,CSJ,2,2,0,0,1,1,2,0,1,0,1,0,0,2,2,2,2,2,0,2,2,0,0,2,0,0,2
21085,Comunicació Audiovisual,UAB,CSJ,2,2,0,0,1,1,2,0,1,0,1,0,0,2,2,2,2,2,0,2,2,0,0,2,0,0,2
41002,Comunicació Audiovisual,UPF,CSJ,2,2,0,0,1,1,2,0,1,0,1,0,0,2,2,2,2,2,0,2,2,0,0,2,0,0,2
71007,Comunicació Audiovisual,URV,CSJ,2,2,0,0,1,1,2,0,1,0,1,0,0,2,2,2,2,2,0,2,2,0,0,2,0,0,2
91006,Comunicació Audiovisual,UVic-UCC,CSJ,2,2,0,0,1,1,2,0,1,0,1,0,0,2,2,2,2,2,0,2,2,0,0,2,0,0,2
81005,Comunicació Audiovisual i Multimèdia "ERAM",UdG,CSJ,2,2,0,0,2,2,2,2,2,0,0,0,0,0,0,2,0,0,0,2,2,0,1,2,0,0,0
81067,Comunicació Audiovisual i Multimèdia "ERAM" (docència en anglès),UdG,CSJ,2,2,0,0,2,2,2,2,2,0,0,0,0,0,0,2,0,0,0,2,2,0,1,2,0,0,0
11098,Comunicació Audiovisual / Gestió d'Informació i Documentació Digital (Simultaneïtat),UB,CSJ,2,2,1,2,1,1,2,1,1,2,1,1,0,2,2,2,2,2,0,2,2,1,0,2,0,2,2
81068,Comunicació Cultural,UdG,AH,2,2,0,2,2,0,2,0,2,0,2,0,0,2,2,2,2,2,0,0,0,0,0,2,0,0,2
21121,Comunicació de les Organitzacions,UAB,CSJ,0,0,0,2,0,0,2,0,0,2,0,0,0,0,0,0,2,2,0,0,2,0,0,2,0,0,2
